Well,Run,Type,Vial,DLF
A1,1,Positive,NA,NA
A2,1,Positive,NA,NA
A3,1,Negative,NA,NA
A4,1,Negative,NA,NA
A5,1,Sample,15-H,1
A6,1,Sample,15-H,1
A7,1,Sample,21-H,1
A8,1,Sample,21-H,1
A9,1,Sample,27-H,1
A10,1,Sample,27-H,1
A11,1,Sample,33-H,2
A12,1,Sample,33-H,2
B1,1,Sample,39-H,2
B2,1,Sample,39-H,2
B3,1,Sample,45-H,1
B4,1,Sample,45-H,1
B5,1,Sample,51-H,2
B6,1,Sample,51-H,2
B7,1,Sample,57-H,1
B8,1,Sample,57-H,1
B9,1,Sample,69-H,1
B10,1,Sample,69-H,1
B11,1,Sample,75-H,2
B12,1,Sample,75-H,2
C1,1,Sample,81-H,1
C2,1,Sample,81-H,1
C3,1,Sample,87-H,1
C4,1,Sample,87-H,1
C5,1,Sample,93-H,1
C6,1,Sample,93-H,1
C7,1,Sample,99-H,1
C8,1,Sample,99-H,1
C9,1,Sample,105-H,1
C10,1,Sample,105-H,1
C11,1,Sample,111-H,2
C12,1,Sample,111-H,2
D1,1,Sample,117-H,1
D2,1,Sample,117-H,1
D3,1,Sample,123-H,1
D4,1,Sample,123-H,1
D5,1,Sample,129-H,1
D6,1,Sample,129-H,1
D7,1,Sample,135-H,2
D8,1,Sample,135-H,2
D9,1,Sample,147-H,1
D10,1,Sample,147-H,1
D11,1,Sample,153-H,1
D12,1,Sample,153-H,1
E1,1,Sample,21-S,1
E2,1,Sample,21-S,1
E3,1,Sample,33-S,1
E4,1,Sample,33-S,1
E5,1,Sample,39-S,2
E6,1,Sample,39-S,2
E7,1,Sample,45-S,1
E8,1,Sample,45-S,1
E9,1,Sample,51-S,2
E10,1,Sample,51-S,2
E11,1,Sample,75-S,1
E12,1,Sample,75-S,1
F1,1,Sample,81-S,1
F2,1,Sample,81-S,1
F3,1,Sample,87-S,1
F4,1,Sample,87-S,1
F5,1,Sample,105-S,1
F6,1,Sample,105-S,1
F7,1,Sample,111-S,1
F8,1,Sample,111-S,1
F9,1,Sample,117-S,1
F10,1,Sample,117-S,1
F11,1,Sample,123-S,1
F12,1,Sample,123-S,1
G1,1,Sample,129-S,1
G2,1,Sample,129-S,1
G3,1,Sample,135-S,1
G4,1,Sample,135-S,1
G5,1,Sample,153-S,1
G6,1,Sample,153-S,1
G7,1,Sample,159-H,1
G8,1,Sample,159-H,1
G9,1,Sample,165-H,1
G10,1,Sample,165-H,1
G11,1,Sample,171-H,1
G12,1,Sample,171-H,1
H1,1,NA,NA,NA
H2,1,NA,NA,NA
H3,1,NA,NA,NA
H4,1,NA,NA,NA
H5,1,NA,NA,NA
H6,1,NA,NA,NA
H7,1,NA,NA,NA
H8,1,NA,NA,NA
H9,1,NA,NA,NA
H10,1,NA,NA,NA
H11,1,NA,NA,NA
H12,1,NA,NA,NA
A1,2,Sample,177-H,1
A2,2,Sample,177-H,1
A3,2,Sample,183-H,1
A4,2,Sample,183-H,1
A5,2,Sample,189-H,1
A6,2,Sample,189-H,1
A7,2,Sample,195-H,1
A8,2,Sample,195-H,1
A9,2,Sample,201-H,1
A10,2,Sample,201-H,1
A11,2,Sample,207-H,1
A12,2,Sample,207-H,1
B1,2,Sample,213-H,1
B2,2,Sample,213-H,1
B3,2,Sample,219-H,1
B4,2,Sample,219-H,1
B5,2,Sample,225-H,1
B6,2,Sample,225-H,1
B7,2,Sample,231-H,1
B8,2,Sample,231-H,1
B9,2,Sample,237-H,1
B10,2,Sample,237-H,1
B11,2,Sample,243-H,2
B12,2,Sample,243-H,2
C1,2,Sample,249-H,1
C2,2,Sample,249-H,1
C3,2,Sample,255-H,1
C4,2,Sample,255-H,1
C5,2,Sample,261-H,1
C6,2,Sample,261-H,1
C7,2,Sample,267-H,2
C8,2,Sample,267-H,2
C9,2,Sample,273-H,1
C10,2,Sample,273-H,1
C11,2,Sample,279-H,2
C12,2,Sample,279-H,2
D1,2,Sample,285-H,2
D2,2,Sample,285-H,2
D3,2,Sample,291-H,1
D4,2,Sample,291-H,1
D5,2,Sample,177-S,1
D6,2,Sample,177-S,1
D7,2,Sample,189-S,1
D8,2,Sample,189-S,1
D9,2,Sample,195-S,1
D10,2,Sample,195-S,1
D11,2,Sample,207-S,1
D12,2,Sample,207-S,1
E1,2,Sample,231-S,1
E2,2,Sample,231-S,1
E3,2,Sample,237-S,1
E4,2,Sample,237-S,1
E5,2,Sample,243-S,1
E6,2,Sample,243-S,1
E7,2,Sample,249-S,1
E8,2,Sample,249-S,1
E9,2,Sample,255-S,1
E10,2,Sample,255-S,1
E11,2,Sample,261-S,1
E12,2,Sample,261-S,1
F1,2,Sample,267-S,1
F2,2,Sample,267-S,1
F3,2,NA,NA,NA
F4,2,NA,NA,NA
F5,2,NA,NA,NA
F6,2,NA,NA,NA
F7,2,NA,NA,NA
F8,2,NA,NA,NA
F9,2,NA,NA,NA
F10,2,NA,NA,NA
F11,2,NA,NA,NA
F12,2,NA,NA,NA
G1,2,NA,NA,NA
G2,2,NA,NA,NA
G3,2,NA,NA,NA
G4,2,NA,NA,NA
G5,2,NA,NA,NA
G6,2,NA,NA,NA
G7,2,NA,NA,NA
G8,2,NA,NA,NA
G9,2,NA,NA,NA
G10,2,NA,NA,NA
G11,2,NA,NA,NA
G12,2,NA,NA,NA
H1,2,NA,NA,NA
H2,2,NA,NA,NA
H3,2,NA,NA,NA
H4,2,NA,NA,NA
H5,2,NA,NA,NA
H6,2,NA,NA,NA
H7,2,NA,NA,NA
H8,2,NA,NA,NA
H9,2,NA,NA,NA
H10,2,NA,NA,NA
H11,2,NA,NA,NA