"Date","Time","Treatment","Tank","Temp.C","pH.mV","Sal.psu","Light.PAR","Fed..Y.N.","pH.Total"
20190306,"10:34",NA,4,8.16,NA,26.58,708,NA,NA
20190306,"10:34",NA,5,7.08,NA,27.02,865,NA,NA
20190306,"10:34",NA,6,5.59,NA,26.73,693,NA,NA
20190308,"8:30",NA,4,5.58,NA,25.93,680,NA,NA
20190308,"8:30",NA,5,5.11,NA,26.81,619,NA,NA
20190315,"10:30",NA,4,13.8,NA,27.18,145,NA,NA
20190315,"10:30",NA,5,14.05,NA,27.1,176,NA,NA
20190315,"10:30",NA,6,4.74,NA,26.27,168,NA,NA
20190318,"14:30",NA,4,19.35,54.8,27.16,928,NA,6.04484959398516
20190318,"14:30",NA,5,19.45,56.2,27.35,1025,NA,6.0201270979643
20190318,"14:30",NA,6,36.4,66.3,28.71,805,NA,5.7518250518324
20190319,"15:30",NA,4,18.71,71.9,27.5,122,NA,5.75346651532638
20190319,"15:30",NA,5,19.41,54.7,27.63,119,NA,6.04620699092068
20190319,"15:30",NA,6,19.28,67.7,27.87,117,NA,5.82295560485476
20190320,"9:15",NA,4,19.4,NA,27.36,769,NA,NA
20190320,"9:15",NA,5,18.49,66.5,27.69,735,NA,5.84789932572641
20190320,"9:15",NA,6,18.96,58.7,27.87,662,NA,5.97993696275901
20190320,"9:15",NA,1,20.35,40.5,30.27,642,NA,6.28431065028162
20190320,"9:15",NA,2,20.58,NA,30.03,712,NA,NA
20190320,"9:15",NA,3,20.6,NA,30.05,750,NA,NA
20190321,"15:30",NA,4,19.02,60.5,27.64,193,NA,5.94853652920729
20190321,"15:30",NA,5,19.21,58.5,27.77,160,NA,5.98192032837153
20190321,"15:30",NA,6,19.8,60.2,27.97,170,NA,5.94921106560788
20190321,"15:30",NA,1,19.39,NA,30.39,174,NA,NA
20190321,"15:30",NA,2,19.64,NA,30.27,175,NA,NA
20190321,"15:30",NA,3,19.34,NA,30.41,179,NA,NA
20190322,"9:15",NA,4,19.1,NA,27.7,212,NA,NA
20190322,"9:15",NA,5,19.5,NA,27.79,195,NA,NA
20190322,"9:15",NA,6,19.38,NA,27.99,204,NA,NA
20190322,"9:15",NA,1,18.97,NA,30.4,307,NA,NA
20190322,"9:15",NA,2,19.46,NA,30.29,310,NA,NA
20190322,"9:15",NA,3,19.15,NA,30.47,398,NA,NA
20190325,"9:10",NA,1,19.26,NA,30.53,154,NA,NA
20190325,"9:10",NA,2,19.65,NA,30.77,147,NA,NA
20190325,"9:10",NA,3,19.34,NA,30.84,160,NA,NA
20190326,"15:45",NA,1,19.71,NA,29.82,531,NA,NA
20190326,"15:45",NA,2,19.23,NA,30.58,861,NA,NA
20190326,"15:45",NA,3,19.88,NA,30.83,836,NA,NA
20190327,"9:00",NA,1,19.29,NA,30.23,652,NA,NA
20190327,"9:00",NA,2,19.44,NA,30.83,602,NA,NA
20190327,"9:00",NA,3,19.28,NA,30.78,530,NA,NA
20190328,"15:45",NA,1,18.98,NA,28.4,432,NA,NA
20190328,"15:45",NA,2,19.37,NA,30.88,952,NA,NA
20190328,"15:45",NA,3,19.3,NA,30.86,827,NA,NA
20190328,"15:45",NA,6,18.82,NA,28.84,944,NA,NA
20190329,"9:15","Dark",1,23.14,NA,30.66,165,NA,NA
20190329,"9:15","Light",2,19.62,NA,30.95,263,NA,NA
20190329,"9:15","Light.Fed",3,19.03,NA,30.98,239,NA,NA
20190329,"9:15","Light",4,19.71,NA,28.82,180,NA,NA
20190329,"9:15","Light.Fed",5,18.67,NA,28.65,249,NA,NA
20190329,"9:15","Dark",6,19.14,NA,28.75,272,NA,NA
20190401,"9:10","Dark",1,19.45,NA,30.54,17,NA,NA
20190401,"9:10","Light",2,19.48,NA,31.13,428,NA,NA
20190401,"9:10","Light.Fed",3,19.32,NA,31.32,571,NA,NA
20190401,"9:10","Light",4,19.7,NA,28.87,3,NA,NA
20190401,"9:10","Light.Fed",5,18.62,NA,28.75,1118,NA,NA
20190401,"9:10","Dark",6,19.4,NA,29,935,NA,NA
20190402,"15:30","Dark",1,18.99,NA,30.47,8,NA,NA
20190402,"15:30","Light",2,19.24,NA,30.2,824,NA,NA
20190402,"15:30","Light.Fed",3,18.48,NA,30.28,765,NA,NA
20190402,"15:30","Light",4,18.61,NA,29.16,554,NA,NA
20190402,"15:30","Light.Fed",5,19.41,NA,30.2,431,NA,NA
20190402,"15:30","Dark",6,18.63,NA,28.95,6,NA,NA
20190403,"9:35","Dark",1,19.52,550.4,30.72,3,NA,-2.49040952510469
20190403,"9:35","Light",2,19.13,562.3,30.32,301,NA,-2.70461419591931
20190403,"9:35","Light.Fed",3,19.18,553.7,30.36,269,NA,-2.55515772119575
20190403,"9:35","Light",4,19.23,566.1,29.19,266,NA,-2.76773081627277
20190403,"9:35","Light.Fed",5,19.04,543.5,30.28,253,NA,-2.38249422474308
20190403,"9:35","Dark",6,19.72,515.7,29.05,4,NA,-1.88867368986585
20190404,"15:20","Dark",1,18.59,-37.7,30.82,7,NA,7.64740213744647
20190404,"15:20","Light",2,19.52,-49.2,30.6,963,NA,7.83469308172037
20190404,"15:20","Light.Fed",3,19.2,-39,30.47,1106,NA,7.66276523337991
20190404,"15:20","Light",4,18.77,-50.3,29.22,1356,NA,7.86285036823813
20190404,"15:20","Light.Fed",5,19.11,-41.4,30.35,995,NA,7.70519697852898
20190404,"15:20","Dark",6,18.93,-38.5,29.05,5,NA,7.65727617795323
20190405,"13:20","Dark",1,19.66,-42,29.48,4,NA,7.70905992280353
20190405,"13:20","Light",2,19.53,-48.2,30.54,545,NA,7.81735162016699
20190405,"13:20","Light.Fed",3,19.49,-38.7,30.62,487,NA,7.65423093146612
20190405,"13:20","Light",4,18.65,-51.8,29.4,608,NA,7.8902340193891
20190405,"13:20","Light.Fed",5,18.67,-42.2,30.41,521,NA,7.72419272771592
20190405,"13:20","Dark",6,19.07,-39.3,29.21,3,NA,7.6694498890671
20190408,"12:22","Dark",1,19.7,-37.8,29.6,6,NA,7.63630935592656
20190408,"12:22","Light",2,19.38,-47.2,30.56,305,NA,7.80194597433098
20190408,"12:22","Light.Fed",3,19.66,-35,30.67,330,NA,7.5885776656888
20190408,"12:22","Light",4,18.83,-51.3,29.43,355,NA,7.87937294771492
20190408,"12:22","Light.Fed",5,19.26,-42.3,30.43,314,NA,7.71894467320901
20190408,"12:22","Dark",6,19.88,-36.1,29.12,3,NA,7.60499658691978
20190409,"15:00","Dark",1,18.65,-42.5,29.63,4,NA,7.72961069114881
20190409,"15:00","Light",2,19.31,-51.8,30.61,1073,NA,7.88206150436399
20190409,"15:00","Light.Fed",3,19.63,-41.5,30.66,923,NA,7.70080651933906
20190409,"15:00","Light",4,18.69,-57.4,29.02,1051,NA,7.98644434543515
20190409,"15:00","Light.Fed",5,18.92,-55.7,30.3,754,NA,7.95418435120154
20190409,"15:00","Dark",6,19.25,-37.7,29.05,5,NA,7.63977771010602
20190410,"13:57","Dark",1,18.86,-38.4,29.55,3,NA,7.65636230995495
20190410,"13:57","Light",2,19.83,-52.3,30.9,567,NA,7.88423638223559
20190410,"13:57","Light.Fed",3,19.54,-50.9,30.7,598,NA,7.86372092763812
20190410,"13:57","Light",4,19.48,-62.4,29.55,881,NA,8.06251624814169
20190410,"13:57","Light.Fed",5,18.9,-64.3,30.51,601,NA,8.10284292408104
20190410,"13:57","Dark",6,19.18,-36.7,29.14,4,NA,7.62334558000661
20190411,"15:30","Dark",1,19.03,-36.1,29.81,1,NA,7.61471919537783
20190411,"15:30","Light",2,19.58,-55.3,30.71,110,NA,7.93898112310229
20190411,"15:30","Light.Fed",3,19.65,-59.1,30.8,108,NA,8.00350869803062
20190411,"15:30","Light",4,18.93,-62.4,29.53,109,NA,8.06966514769135
20190411,"15:30","Light.Fed",5,19.52,-71.3,30.53,101,NA,8.21525473550762
20190411,"15:30","Dark",6,19.6,-33.2,29.12,0,NA,7.55827221216597
20190412,"14:24","Dark",1,19.08,-33.8,29.76,1,NA,7.57448096637476
20190412,"14:24","Light",2,19.88,-53.5,30.62,115,NA,7.90425620874315
20190412,"14:24","Light.Fed",3,19.68,-61.6,30.76,118,NA,8.04615165135979
20190412,"14:24","Light",4,19.69,-62.8,29.61,127,NA,8.06667434772827
20190412,"14:24","Light.Fed",5,19.51,-67.4,30.54,114,NA,8.1482295750188
20190412,"14:24","Dark",6,19.23,-30.3,29.12,0,NA,7.51245424060916
20190415,"13:53","Dark",1,18.75,-38.1,29.26,1,NA,7.65245844873842
20190415,"13:53","Light",2,19.6,-54.3,30.67,751,NA,7.9215145909834
20190415,"13:53","Light.Fed",3,19.34,-80.7,30.73,1034,NA,8.37965427660604
20190415,"13:53","Light",4,19.23,-66.7,29.48,1220,NA,8.13988337553623
20190415,"13:53","Light.Fed",5,19.04,-76.1,30.47,1450,NA,8.30453557176492
20190415,"13:53","Dark",6,19.59,-34.4,29.06,2,NA,7.57904388037736
